Code,Name,Message,Details,Parent_Group
AIR001,airflow-variable-name-task-id-mismatch,"Task variable name should match the task_id: ""{task_id}""",,AIR
AIR002,airflow-dag-no-schedule-argument,DAG or @dag should have an explicit schedule argument,,AIR
AIR301,airflow3-removal,{deprecated} is removed in Airflow 3.0,🛠️,AIR
AIR302,airflow3-moved-to-provider,{deprecated} is moved into {provider} provider in Airflow 3.0;,🛠️,AIR
AIR311,airflow3-suggested-update,{deprecated} is removed in Airflow 3.0; It still works in Airflow 3.0 but is expected to be removed in a future version.,🛠️,AIR
AIR312,airflow3-suggested-to-move-to-provider,{deprecated} is deprecated and moved into {provider} provider in Airflow 3.0; It still works in Airflow 3.0 but is expected to be removed in a future version.,🛠️,AIR
ERA001,commented-out-code,Found commented-out code,,ERA
FAST001,fast-api-redundant-response-model,FastAPI route with redundant response_model argument,🛠️,FAST
FAST002,fast-api-non-annotated-dependency,FastAPI dependency without Annotated,🛠️,FAST
FAST003,fast-api-unused-path-parameter,"Parameter {arg_name} appears in route path, but not in {function_name} signature",🛠️,FAST
YTT101,sys-version-slice3,"sys.version[:3] referenced (python3.10), use sys.version_info",,YTT
YTT102,sys-version2,"sys.version[2] referenced (python3.10), use sys.version_info",,YTT
YTT103,sys-version-cmp-str3,"sys.version compared to string (python3.10), use sys.version_info",,YTT
YTT201,sys-version-info0-eq3,"sys.version_info[0] == 3 referenced (python4), use >=",,YTT
YTT202,six-py3,"six.PY3 referenced (python4), use not six.PY2",,YTT
YTT203,sys-version-info1-cmp-int,"sys.version_info[1] compared to integer (python4), compare sys.version_info to tuple",,YTT
YTT204,sys-version-info-minor-cmp-int,"sys.version_info.minor compared to integer (python4), compare sys.version_info to tuple",,YTT
YTT301,sys-version0,"sys.version[0] referenced (python10), use sys.version_info",,YTT
YTT302,sys-version-cmp-str10,"sys.version compared to string (python10), use sys.version_info",,YTT
YTT303,sys-version-slice1,"sys.version[:1] referenced (python10), use sys.version_info",,YTT
ANN001,missing-type-function-argument,Missing type annotation for function argument {name},,ANN
ANN002,missing-type-args,Missing type annotation for *{name},,ANN
ANN003,missing-type-kwargs,Missing type annotation for **{name},,ANN
ANN101,missing-type-self,Missing type annotation for {name} in method,❌,ANN
ANN102,missing-type-cls,Missing type annotation for {name} in classmethod,❌,ANN
ANN201,missing-return-type-undocumented-public-function,Missing return type annotation for public function {name},🛠️,ANN
ANN202,missing-return-type-private-function,Missing return type annotation for private function {name},🛠️,ANN
ANN204,missing-return-type-special-method,Missing return type annotation for special method {name},🛠️,ANN
ANN205,missing-return-type-static-method,Missing return type annotation for staticmethod {name},🛠️,ANN
ANN206,missing-return-type-class-method,Missing return type annotation for classmethod {name},🛠️,ANN
ANN401,any-type,Dynamically typed expressions (typing.Any) are disallowed in {name},,ANN
ASYNC100,cancel-scope-no-checkpoint,"A with {method_name}(...): context does not contain any await statements. This makes it pointless, as the timeout can only be triggered by a checkpoint.",,ASYNC
ASYNC105,trio-sync-call,Call to {method_name} is not immediately awaited,🛠️,ASYNC
ASYNC109,async-function-with-timeout,Async function definition with a timeout parameter,,ASYNC
ASYNC110,async-busy-wait,Use {module}.Event instead of awaiting {module}.sleep in a while loop,,ASYNC
ASYNC115,async-zero-sleep,Use {module}.lowlevel.checkpoint() instead of {module}.sleep(0),🛠️,ASYNC
ASYNC116,long-sleep-not-forever,{module}.sleep() with >24 hour interval should usually be {module}.sleep_forever(),🛠️,ASYNC
ASYNC210,blocking-http-call-in-async-function,Async functions should not call blocking HTTP methods,,ASYNC
